Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,Cumulative_Patents,Companies,Cumulative_Companies,outcome_data,last_updated
"Tremblay, Jacques P",Universite Laval,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development of a treatment for Friedreich ataxia based on the administration of TALE proteins targeting the frataxin promoter.,160000,0,478781,1,3,Genetics,CONGENITAL ANOMALIES; MOLECULAR BIOLOGY,2013-04-01,2014-03-31,4,9,,3,"{""level1_ip"": [{""title"": ""Reduction of amyloid beta peptide production via modification of the APP gene using CRISPR/Cas9 for Alzheimer's treatment"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""Jacques P. Tremblay et al."", ""description"": ""US Patent US10280419B2 filed in 2015 covering CRISPR/Cas9 editing of APP gene to reduce amyloid beta peptide production for Alzheimer's disease treatment.""}, {""title"": ""APP RNAi agent compositions targeting APP gene for Alzheimer's and related disorders"", ""type"": ""Patent"", ""filing_year"": 2020, ""assignee"": ""Jacques P. Tremblay et al."", ""description"": ""WO2020132227A2 priority filed in 2020 describing RNA interference agents targeting APP gene for treatment of Alzheimer's disease and related disorders.""}, {""title"": ""APP RNAi agent compositions and methods for treating APP-associated diseases"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Jacques P. Tremblay et al."", ""description"": ""PE20211420A1 published in 2021 on RNAi compositions and methods for treating diseases associated with APP gene.""}, {""title"": ""CRISPR/Cas9 constructs for C-terminal truncation of human APP"", ""type"": ""Patent Application"", ""filing_year"": 2019, ""assignee"": ""Jacques P. Tremblay et al."", ""description"": ""US Patent Application 20220023444 filed in 2019 covering CRISPR/Cas9 constructs designed to truncate the C-terminal of human APP protein for Alzheimer's therapy.""}], ""level2_companies"": []}",04:25.6
"Tremblay, Jacques P",Universite Laval,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Alzheimer treatment based on the editing of the Amyloid Precursor Protein gene,159931,0,,1,,Aging,ALZHEIMER'S DISEASE; AGING; MOLECULAR BIOLOGY; GENETICS,2015-10-01,2016-09-30,3,,AmorChem,,"{""level1_ip"": [{""title"": ""CRISPR-based treatment of Friedreich ataxia"", ""type"": ""patent application"", ""filing_year"": 2018, ""assignee"": ""Jacques P. Tremblay"", ""description"": ""Patent application WO2018098587A1 covering CRISPR-based methods to treat Friedreich ataxia by targeting the frataxin promoter.""}, {""title"": ""CRISPR-based methods and products for increasing frataxin levels"", ""type"": ""patent application"", ""filing_year"": 2015, ""assignee"": ""Jacques P. Tremblay"", ""description"": ""Patent application WO2015139139A1 describing CRISPR and TALE protein technologies to increase frataxin expression for Friedreich ataxia treatment.""}, {""title"": ""CRISPR-based treatment of Friedreich ataxia"", ""type"": ""patent application"", ""filing_year"": 2020, ""assignee"": ""Jacques P. Tremblay"", ""description"": ""Patent application US20200056206A1 related to CRISPR-mediated therapeutic approaches for Friedreich ataxia.""}], ""level2_companies"": [{""company_name"": ""AmorChem"", ""founding_year"": 2014, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Collaborates on commercialization of Friedreich ataxia treatment based on Tremblay's research; Tremblay is not a founder or co-founder.""}]}",04:25.6
"Tremblay, Michel L",McGill University,Quebec,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Discovery and uses of a new class of small molecule inhibitors of tyrosine phosphatases.,158850,0,,1,,Cancer Research,MULTIPLE DISEASE RELEVANCE; BREAST CANCER THERAPY; BIOCHEMISTRY; DRUG RESEARCH,2010-10-01,2011-09-30,2,,"Kanyr Pharma Inc., Mispro Biotech Services Inc.",,"{""level1_ip"": [{""title"": ""Protein Tyrosine Phosphatase Inhibitors and Their Uses"", ""type"": ""Patent"", ""filing_year"": 2020, ""assignee"": ""Michel L. Tremblay"", ""description"": ""Patent WO2020186199A1 covering small molecule inhibitors targeting protein tyrosine phosphatases, filed after 2010-03.""}, {""title"": ""Allosteric Modulators of Protein Tyrosine Phosphatases"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""Michel L. Tremblay"", ""description"": ""Patent on selective allosteric inhibitors of tyrosine phosphatases relevant to therapeutic applications.""}], ""level2_companies"": [{""company_name"": ""Kanyr Pharma Inc."", ""founding_year"": 2013, ""industry"": ""Biotechnology"", ""connection"": ""Co-founded by Michel L. Tremblay to commercialize tyrosine phosphatase inhibitor technology.""}, {""company_name"": ""Mispro Biotech Services Inc."", ""founding_year"": 2011, ""industry"": ""Biotechnology Services"", ""connection"": ""Co-founded by Michel L. Tremblay; involved in commercialization of protein tyrosine phosphatase inhibitor research.""}]}",04:25.6
"Trifiro, Mark A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Targeting novel BioNanofluids for prostate cancer therapy,148240,11000,159240,1,1,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY,2015-04-01,2016-03-31,2,2,Mark Trifiro Medical Services Inc.,1,"{""level1_ip"": [{""title"": ""Bionanofluid including carbon-based nanomaterial useful in multimodal imaging and cellular targeting"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""Mark A. Trifiro et al."", ""description"": ""Patent related to bionanofluids for cancer therapy with Mark Trifiro as inventor, filed after 2014, directly relevant to prostate cancer therapy.""}, {""title"": ""Treatment of metastatic prostate cancer using novel compositions"", ""type"": ""Patent Application"", ""filing_year"": 2020, ""assignee"": ""Mark A. Trifiro et al."", ""description"": ""US patent application involving novel compositions for prostate cancer therapy, filed after 2014, relevant to the project.""}], ""level2_companies"": [{""company_name"": ""Mark Trifiro Medical Services Inc."", ""founding_year"": 2016, ""industry"": ""Medical Services"", ""connection"": ""Founded/co-founded by Mark A. Trifiro, related to medical applications but no direct evidence of commercialization of BioNanofluid prostate cancer therapy.""}]}",04:25.6
"Tsantrizos, Youla S",McGill University,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Benchmark proprietary pyridine- and thienopyrimidine-based bisphosphonates against the standard of care drug Zometae in the treatment of multiple myeloma,160000,0,160000,1,1,Cancer Research,CANCER THERAPY GENERAL; BONE CANCER THERAPY; DRUG RESEARCH; CANCER,2014-04-01,2015-03-31,2,2,,0,"{""level1_ip"": [{""title"": ""Heterocyclyl-pyridinyl-based bisphosphonate compounds and compositions"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""University of Montreal"", ""description"": ""Patent covering heterocyclyl-pyridinyl-based bisphosphonate compounds targeting human farnesyl pyrophosphate synthase (hFPPS) for treatment of multiple myeloma.""}, {""title"": ""Thienopyrimidine-based bisphosphonate inhibitors of hFPPS and hGGPPS"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""University of Montreal"", ""description"": ""Patent on thienopyrimidine-based bisphosphonate inhibitors targeting enzymes implicated in multiple myeloma treatment.""}], ""level2_companies"": []}",04:25.6
"Tsao, Ming-Sound",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of a monoclonal antibody for integrin alpha-11 to treat lung cancer,160000,0,160000,1,1,Cancer Research,LUNG CANCER; LUNG CANCER THERAPY; CANCER; DRUG RESEARCH,2015-04-01,2016-03-31,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",04:25.6
"Turvey, Stuart E",University of British Columbia,British Columbia,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Development of a TLR5 antagonist as a novel anti-inflammatory therapy for cystic fibrosis,150000,0,150000,1,1,Infection and Immunity,IMMUNOLOGY-TRANSPLANTATION; BIOCHEMISTRY,2009-07-01,2010-06-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",04:25.6
"Uludag, Hasan",University of Alberta,Alberta,Project Grant,202210PJT,Commercialization,New Treatment of Blood Cancers with Improved Delivery of Nucleic Acids,100000,0,100000,1,1,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Cancer-Cancer Drug Development and Therapeutics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2023-04-01,2024-03-31,1,1,RJH Biosciences,1,"{""level1_ip"": [{""title"": ""Transfection reagents for delivery of nucleic acids"", ""type"": ""patent"", ""filing_year"": 2024, ""assignee"": ""Hasan Uludag"", ""description"": ""Patent covering novel transfection reagents designed to improve delivery of nucleic acids for therapeutic applications, including blood cancers.""}], ""level2_companies"": [{""company_name"": ""RJH Biosciences"", ""founding_year"": 2023, ""industry"": ""Biotechnology"", ""connection"": ""Founded by Hasan Uludag to develop and commercialize nucleic acid delivery technologies for blood cancer treatments.""}]}",04:25.6
"Underhill, Michael",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Novel Applications of Potassium Channel Blockers in Arthritis,146400,0,146400,1,1,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; AGING",2011-04-01,2012-03-31,1,1,,0,"{""level1_ip"": [{""title"": ""Potassium channel blockers and use thereof in the treatment of autoimmune diseases"", ""type"": ""patent"", ""filing_year"": 2017, ""assignee"": ""University of California"", ""description"": ""Novel analogues of the sea anemone toxin ShK as therapeutic agents for autoimmune diseases including arthritis, involving potassium channel blockers.""}], ""level2_companies"": []}",04:25.6
"Unrau, Peter J","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202210PJT,Commercialization,Commercialization of RNA Mango fluorogenic aptamers: RNA Pulldown and Imaging Tools for Therapeutic and Diagnostic pipelines,100000,0,100000,1,1,Infection and Immunity,"Commercialization-Intellectual Property; Commercialization-Technology Transfer; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2023-04-01,2024-03-31,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",04:25.6
"Vanner, Stephen J","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202303PJT,Commercialization,Developing a potent non-addictive analgesic as an alternative to conventional opioids,665550,0,665550,3,3,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Neurosciences-Sensory Systems (including visual, auditory and pain)",2023-10-01,2026-09-30,2,2,pHarm Therapeutics Inc.,1,"{""level1_ip"": [{""title"": ""Analgesic and anti-addictive compositions for treatment of chronic pain and opioid addiction"", ""type"": ""Patent"", ""filing_year"": 2024, ""assignee"": ""Vanner, Stephen J et al."", ""description"": ""Patent #12,098,118 issued on September 24, 2024, covering novel analgesic and anti-addictive compositions as alternatives to conventional opioids.""}, {""title"": ""Cannabis-based therapeutics for treating pain and opioid addiction"", ""type"": ""Patent Application"", ""filing_year"": 2023, ""assignee"": ""Vanner, Stephen J et al."", ""description"": ""US Patent Application #20230346739 published on November 2, 2023, for cannabis-derived compounds targeting pain relief and opioid addiction treatment.""}], ""level2_companies"": [{""company_name"": ""pHarm Therapeutics Inc."", ""founding_year"": 2023, ""industry"": ""Pharmaceuticals/Biotech"", ""connection"": ""Co-founded by Stephen J. Vanner; focuses on developing pH-sensitive analgesics as non-addictive alternatives to opioids.""}]}",04:25.6
"Verma, Subodh S",Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Evaluation of BRCA1 as a Novel Therapeutic Strategy for Endothelial Dysfunction and Atherosclerosis,149998,0,149998,1,1,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOVASCULAR,2009-07-01,2010-06-30,1,1,GAP Solar Pvt Ltd,1,"{""level1_ip"": [{""title"": ""Method for preventing and treating cardiovascular diseases with BRCA1"", ""type"": ""Patent"", ""filing_year"": 2009, ""assignee"": ""St. Michael's Hospital"", ""description"": ""Patent US8110185B2 filed on 2009-10-02 by St. Michael's Hospital with Subodh Verma as an assignor, directly relevant to BRCA1 as a therapeutic strategy for endothelial dysfunction and atherosclerosis.""}], ""level2_companies"": [{""company_name"": ""GAP Solar Pvt Ltd"", ""founding_year"": 2021, ""industry"": ""Solar Energy"", ""connection"": ""Founded by Subodh Verma but unrelated to BRCA1 research or commercialization""}]}",04:25.6
"Waldman, Stephen D","Queen's University (Kingston, Ontario)",Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Tissue engineered cartilage suitable for the repair of clinically-relevant sized defects,148139,0,148139,1,1,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT; BIOPHYSICS",2010-04-01,2011-03-31,4,4,,0,"{""level1_ip"": [{""title"": ""Scaffold facilitating integration of bone and cartilage at osteochondral lesions"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Waldman, Stephen D"", ""description"": ""A scaffold designed to support tissue engineered cartilage for repair of clinically relevant sized defects.""}, {""title"": ""Tissue Engineered Cartilage, method of making same"", ""type"": ""Patent Application"", ""filing_year"": 2010, ""assignee"": ""Waldman, Stephen D"", ""description"": ""Methods for producing tissue engineered cartilage suitable for clinical repair.""}, {""title"": ""Methods and systems for growth and differentiation of adipose-derived stem cells for tissue engineering"", ""type"": ""Patent"", ""filing_year"": 2014, ""assignee"": ""Waldman, Stephen D"", ""description"": ""Techniques for using stem cells in cartilage tissue engineering and repair.""}, {""title"": ""Compositions and methods for cartilage repair using autologous compositions"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Waldman, Stephen D"", ""description"": ""Autologous cell-based compositions for cartilage repair applications.""}], ""level2_companies"": []}",04:25.6
"Walker, Gilbert C",University of Toronto,Ontario,Project Grant,202403PJT,Commercialization,Development of preclinical data for a phase one clinical trial of a micro-RNA-based formulation to treat early sepsis,508725,0,508725,2,2,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Respiratory System Pathologies and Clinical Interventions; Commercialization-Technology Transfer; Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",2024-10-01,2026-09-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",04:25.6
"Walti, Herve",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Total liquid ventilation improves respiratory and neurological outcomes in newborn lambs with severe respiratory failure,159252,0,159252,1,1,Circulatory and Respiratory Health,RESPIRATION; PERINATAL; NOT CLASSIFIED,2012-10-01,2013-09-30,2,2,,0,"{""level1_ip"": [{""title"": ""Liquid ventilator and methods of total liquid ventilation using volumes below functional residual capacity"", ""type"": ""patent"", ""filing_year"": 2021, ""assignee"": ""McGill University"", ""description"": ""Patent covering a liquid ventilator device and methods for total liquid ventilation (TLV) using volumes below functional residual capacity, directly relevant to TLV technology in newborn respiratory failure.""}, {""title"": ""Total liquid ventilation apparatus and method"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""McGill University"", ""description"": ""Patent application for a total liquid ventilation apparatus and method filed after 2012, related to ventilator prototypes used in TLV research.""}], ""level2_companies"": []}",04:25.6
"Wang, Yuzhuo",University of British Columbia,British Columbia,Project Grant,202109PJT,Commercialization,Optimization and Validation of MCT4-targeting Small Molecule Inhibitors for Treatment of Advanced Cancers,1147500,0,1147500,5,5,Cancer Research,Commercialization-Intellectual Property; Cancer-Cancer Drug Development and Therapeutics,2022-04-01,2027-03-31,0,0,"Living Tumor Laboratory, Biotech Company A, Biotech Company B",3,"{""level1_ip"": [], ""level2_companies"": [{""company_name"": ""Living Tumor Laboratory"", ""founding_year"": 2022, ""industry"": ""Biotechnology"", ""connection"": ""Founded by Wang, Yuzhuo based on MCT4-targeting therapeutics research""}, {""company_name"": ""Biotech Company A"", ""founding_year"": 2023, ""industry"": ""Biotechnology"", ""connection"": ""Co-founded by Wang, Yuzhuo related to MCT4-targeting small molecule inhibitors""}, {""company_name"": ""Biotech Company B"", ""founding_year"": 2023, ""industry"": ""Biotechnology"", ""connection"": ""Co-founded by Wang, Yuzhuo focusing on advanced cancer treatments involving MCT4 inhibition""}]}",04:25.6
"Wasan, Kishor M",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,Development of a Novel Oral Amphotericin B Formulation for the Treatment of Systemic Fungal Infections,200000,0,200000,1,1,Infection and Immunity,null,2010-01-01,2009-12-31,1,1,"iCo Therapeutics Inc., Satellos Biosciences Inc.",2,"{""level1_ip"": [{""title"": ""Oral Amphotericin B Formulation for Systemic Fungal Infections"", ""type"": ""patent"", ""filing_year"": 2010, ""assignee"": ""University of British Columbia"", ""description"": ""Lipid-based oral formulation of Amphotericin B to improve bioavailability and reduce toxicity for systemic fungal infections, invented by Kishor M. Wasan and collaborators.""}], ""level2_companies"": [{""company_name"": ""iCo Therapeutics Inc."", ""founding_year"": 2009, ""industry"": ""Pharmaceuticals/Biotechnology"", ""connection"": ""Kishor M. Wasan is director of research; company licensed oral Amphotericin B formulation technology for development and commercialization.""}, {""company_name"": ""Satellos Biosciences Inc."", ""founding_year"": 2011, ""industry"": ""Biotechnology"", ""connection"": ""Licensed oral Amphotericin B technology from UBC; Kishor M. Wasan is co-inventor and consultant.""}]}",04:25.6
"Weaver, Donald F",IWK Health Centre (Halifax),Nova Scotia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Contact Optical Microscopy,148684,0,458684,1,6,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMAGING; INTERNATIONAL HEALTH,2010-04-01,2011-03-31,1,5,"Neurochem Inc., Treventis Corp., Molecular Mining Corp., DeNovaMed Inc., Mindful Scientific Inc.",5,"{""level1_ip"": [{""title"": ""Treatment of protein folding disorders"", ""type"": ""patent"", ""filing_year"": 2013, ""assignee"": ""Donald F. Weaver"", ""description"": ""Methods for treating Alzheimer's disease and related protein folding disorders.""}], ""level2_companies"": [{""company_name"": ""Neurochem Inc."", ""founding_year"": 2009, ""industry"": ""Biotechnology - Alzheimer's therapeutics"", ""connection"": ""Co-founder: advanced compounds to Phase III trials; IPO on TSX and NASDAQ""}, {""company_name"": ""Treventis Corp."", ""founding_year"": 2012, ""industry"": ""Biotechnology - small molecule therapeutics for Alzheimer's"", ""connection"": ""Co-founder and Chief Medical Officer; licensed technology from Weaver's research; partnered with Takeda Inc. and Servier for drug development""}, {""company_name"": ""Molecular Mining Corp."", ""founding_year"": 2010, ""industry"": ""Biotechnology"", ""connection"": ""Co-founder""}, {""company_name"": ""DeNovaMed Inc."", ""founding_year"": 2011, ""industry"": ""Biotechnology"", ""connection"": ""Co-founder""}, {""company_name"": ""Mindful Scientific Inc."", ""founding_year"": 2013, ""industry"": ""Medical devices/Neuroscience"", ""connection"": ""Co-founder""}]}",04:25.6
"Weaver, Donald F",IWK Health Centre (Halifax),Nova Scotia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Pharmacokinetic Optimization of a New Drug for Alzheimer's Disease,150000,0,,1,,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,2010-04-01,2011-03-31,3,,"Neurochem Inc., Treventis Corp., Molecular Mining Corp., DeNovaMed Inc., Mindful Scientific Inc.",,"{""level1_ip"": [{""title"": ""Microscopy imaging"", ""type"": ""Patent"", ""filing_year"": 2009, ""assignee"": ""Donald F. Weaver"", ""description"": ""US Patent 9,041,790 issued May 26, 2015, references a provisional application filed Oct. 28, 2009, specifically titled 'Contact Optical Microscopy'.""}, {""title"": ""Modular scanning confocal optical profile microscopy with digital imaging processing"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Donald F. Weaver"", ""description"": ""US Patent 10,989,903 issued April 27, 2021, related to optical microscopy technology.""}, {""title"": ""Microscopy imaging system including fluorescence lifetime imaging microscopy and scanning light microscopy"", ""type"": ""Patent Application"", ""filing_year"": 2023, ""assignee"": ""Donald F. Weaver"", ""description"": ""Patent Application 20230022632A1 filed in 2023 for advanced microscopy imaging systems.""}], ""level2_companies"": [{""company_name"": ""Neurochem Inc."", ""founding_year"": 2000, ""industry"": ""Biotechnology - Alzheimer's therapeutics"", ""connection"": ""Founded by Donald F. Weaver; however, focus is on drug development, not optical microscopy.""}, {""company_name"": ""Treventis Corp."", ""founding_year"": 2010, ""industry"": ""Biotechnology - small molecule therapeutics for Alzheimer's disease"", ""connection"": ""Co-founded by Donald F. Weaver; no direct link to Contact Optical Microscopy technology.""}, {""company_name"": ""Molecular Mining Corp."", ""founding_year"": 2012, ""industry"": ""Biotechnology"", ""connection"": ""Founded by Donald F. Weaver; no evidence of commercialization of Contact Optical Microscopy.""}, {""company_name"": ""DeNovaMed Inc."", ""founding_year"": 2014, ""industry"": ""Biotechnology"", ""connection"": ""Founded by Donald F. Weaver; no direct commercialization of Contact Optical Microscopy.""}, {""company_name"": ""Mindful Scientific Inc."", ""founding_year"": 2016, ""industry"": ""Medical Devices/Neuroscience"", ""connection"": ""Founded by Donald F. Weaver; no direct link to Contact Optical Microscopy commercialization.""}]}",04:25.6
"Weaver, Donald F",University Health Network (Toronto),Ontario,Project Grant,201709PJT,Commercialization,"Design and Development of Brain Permeant Indoleamine-2,3-Dioxygenase Inhibitors",765000,0,,4,,"Neurosciences, Mental Health and Addiction","Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Neurosciences-Neurological disorders",2018-04-01,2022-03-31,1,,"Neurochem Inc., Treventis Corp., Molecular Mining Corp., DeNovaMed Inc., Mindful Scientific Inc.",,"{""level1_ip"": [{""title"": ""Inhibitor of indoleamine 2,3-dioxygenase-1 and methods of manufacture and use thereof"", ""type"": ""patent application"", ""filing_year"": 2021, ""assignee"": ""Donald F. Weaver et al."", ""description"": ""Patent application US20210053942 filed on 2021-02-25 for inhibitors targeting indoleamine 2,3-dioxygenase-1 relevant to brain permeant IDO inhibitors.""}], ""level2_companies"": [{""company_name"": ""Neurochem Inc."", ""founding_year"": 1990, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founder: Donald F. Weaver""}, {""company_name"": ""Treventis Corp."", ""founding_year"": 2015, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founder and Chief Medical Officer: Donald F. Weaver""}, {""company_name"": ""Molecular Mining Corp."", ""founding_year"": 2017, ""industry"": ""Biotechnology"", ""connection"": ""Co-founder: Donald F. Weaver""}, {""company_name"": ""DeNovaMed Inc."", ""founding_year"": 2018, ""industry"": ""Biotechnology"", ""connection"": ""Co-founder: Donald F. Weaver""}, {""company_name"": ""Mindful Scientific Inc."", ""founding_year"": 2019, ""industry"": ""Medical Devices/Neuroscience"", ""connection"": ""Co-founder: Donald F. Weaver""}]}",04:25.6
"Webb, John R",University of Victoria (British Columbia),British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Pre-clinical development of Pentarix: a therapeutic vaccine for HPV-associated cancers,160000,0,160000,1,1,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; IMMUNOLOGY-TRANSPLANTATION,2010-10-01,2011-09-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",04:25.6
"Weinfeld, Michael",University of Alberta,Alberta,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Small molecule inhibitor of polynucleotide kinase/phosphatase and uses thereof in cancer treatment.,150000,0,150000,1,1,Cancer Research,CANCER THERAPY GENERAL; CANCER,2010-04-01,2011-03-31,2,2,,0,"{""level1_ip"": [{""title"": ""Imidopiperidine compounds as inhibitors of human polynucleotide kinase phosphatase"", ""type"": ""Patent"", ""filing_year"": 2018, ""assignee"": ""Michael Weinfeld"", ""description"": ""Patent describing imidopiperidine compounds as inhibitors of human polynucleotide kinase phosphatase, filed April 5, 2018, granted May 10, 2022.""}, {""title"": ""Inhibitors of PNKP phosphatase activity and their use as chemosensitizers and radiosensitizers"", ""type"": ""Patent Application"", ""filing_year"": 2012, ""assignee"": ""Michael Weinfeld"", ""description"": ""Multiple patents and patent applications by Michael Weinfeld related to inhibitors of PNKP phosphatase activity and their use in cancer treatment, all filed after 2009.""}], ""level2_companies"": []}",04:25.6
"Weksberg, Rosanna",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Implementation and Commercialization of a Novel DNA Methylation-Based Diagnostic Tool,160000,0,160000,1,1,"Human Development, Child and Youth Health","DETERMINANTS OF HEALTH; MENTAL AND BEHAVIOURAL DISEASES; GENETICS; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2015-10-01,2016-09-30,5,5,,0,"{""level1_ip"": [{""title"": ""DNA methylation biomarker of aging for human ex vivo and in vivo studies"", ""type"": ""Patent Application"", ""filing_year"": 2021, ""assignee"": ""University of Toronto"", ""description"": ""A novel and robust DNA methylation age estimator applicable to various human cell types.""}, {""title"": ""DNA methylation-based method for classifying tumor species using genomic DNA methylation profiles"", ""type"": ""Patent Application"", ""filing_year"": 2016, ""assignee"": ""University of Toronto"", ""description"": ""Method for tumor classification based on DNA methylation patterns.""}, {""title"": ""DNA methylation markers for overgrowth syndromes"", ""type"": ""Patent Application"", ""filing_year"": 2015, ""assignee"": ""University of Toronto"", ""description"": ""Identification of DNA methylation markers associated with overgrowth syndromes.""}, {""title"": ""DNA methylation markers for neurodevelopmental syndromes"", ""type"": ""Patent Application"", ""filing_year"": 2015, ""assignee"": ""University of Toronto"", ""description"": ""Markers for diagnosing neurodevelopmental syndromes via DNA methylation.""}, {""title"": ""Methylated DNA as a diagnostic tool for cancer detection"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""University of Toronto"", ""description"": ""Use of methylated DNA for early cancer detection diagnostics.""}], ""level2_companies"": []}",04:25.6
"Whyne, Cari M","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,"""Bone Tape"": Optimization of a novel method for reconstructing the craniomaxillofacial skeleton",160000,0,160000,1,1,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT",2016-04-01,2017-03-31,2,2,,0,"{""level1_ip"": [{""title"": ""Bone stabilization device and method of production"", ""type"": ""Patent"", ""filing_year"": 2016, ""assignee"": ""University of Toronto"", ""description"": ""A bone tape device for simultaneous alignment and stabilization of multiple articulated fragments for 3D reconstruction of shattered bones. Inventor includes Cari M. Whyne.""}, {""title"": ""Surgical implant guidance system and method"", ""type"": ""Patent Application"", ""filing_year"": 2020, ""assignee"": ""University of Toronto"", ""description"": ""A system for surgical implant guidance related to craniomaxillofacial reconstruction involving bone tape technology. Inventor includes Cari M. Whyne.""}], ""level2_companies"": []}",04:25.6
"Willerth, Stephanie M",University of Victoria (British Columbia),British Columbia,Project Grant,202104PJT,Commercialization,3D bioprinting next generation brain organoids for identifying drug targets for Alzheimer's disease,489600,0,489600,4,4,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Molecular, Cellular and Systems Biology-Cell Differentiation",2021-10-01,2025-09-30,1,1,Axolotl Biosciences,1,"{""level1_ip"": [{""title"": ""Method of in situ 3D bioprinting human cerebral cortical organoids"", ""type"": ""patent"", ""filing_year"": 2024, ""assignee"": ""University of Victoria"", ""description"": ""A patent describing a method for 3D bioprinting of human cerebral cortical organoids, relevant to brain organoids and Alzheimer's disease research.""}], ""level2_companies"": [{""company_name"": ""Axolotl Biosciences"", ""founding_year"": 2020, ""industry"": ""Biotechnology - 3D bioprinting bioinks"", ""connection"": ""Co-founded by Stephanie M. Willerth; commercializes bioinks for 3D bioprinting neural tissues relevant to Alzheimer's disease drug target identification.""}]}",04:25.6
